id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Zaccaria;Pianigiani;Vito.Girone75@email.it;innovazione withdrawal;2022-03-01T15:48:07;71697;45464
2;Climaco;Motta;Romualdo.DiMaria@gmail.com;withdrawal;2022-03-01T19:44:59;75289;21024
3;Valeria;Salatiello;Achille.Damico@gmail.com;Sleek;2022-03-01T04:48:23;71090;65309
4;Urbano;Cristofaro;Alano.Ermini@yahoo.it;abilitate evolutive;2022-03-01T00:18:00;52820;82484
5;Simone;Di Marco;Gottardo14@yahoo.it;mobile Granite;2022-03-01T18:55:54;13439;33970
6;Adriano;Buccheri;Ivanoe.Nocentini73@yahoo.com;Giamaica Strumenti;2022-03-01T03:42:06;64329;13556
7;Evodio;Caracciolo;Simeone72@email.it;coerente ricche;2022-03-01T06:12:14;54588;45928
8;Dione;Valletta;Bonagiunta8@hotmail.com;payment Como;2022-03-01T20:15:38;3244;21747
9;Ausilia;Salvadori;Odorico_Carlucci98@libero.it;white;2022-03-01T11:36:17;90189;81327
10;Acacio;Petrarca;Callisto79@yahoo.com;Table Aosta Checking;2022-03-01T00:16:27;32637;8639
